program,chain_name,chain_id,round_name,round_id
GG18,OP,10,Web3 Open Source Software,0x8de918F0163b2021839A8D84954dD7E8e151326D
GG18,OP,10,Climate Solutions,0xb6Be0eCAfDb66DD848B0480db40056Ff94A9465d
GG18,OP,10,Web3 Community & Education,0x2871742B184633f8DC8546c6301cbC209945033e
GG18,PGN,424,Ethereum Infrastructure ,0x222EA76664ED77D18d4416d2B2E77937b76f0a35
GG19,OP,10,ReFi DAO Local Node,0x10be322DE44389DeD49c0b2b73d8c3A1E3B6D871
GG20,OP,10,Zuzalu Continuous Innovation,0x5B95acf46c73Fd116F0fEDADcBEDF453530e35d0/
GG21,OP,10,Token Engineering,0xc5FdF5cFf79e92FAc1d6Efa725c319248D279200
GG22,OP,10,Meta Pool LatAm GG18,0xf591E42dfDfE8E62C2085CCaAdFE05F84D89D0c6
GG23,OP,10,Web3 Social,0x9331FDe4Db7b9d9d1498C09d30149929f24cF9D5
GG24,OP,10,Global Chinese Community,0x30C381033aA2830cEB0aA372C2e4D28F004b3DB9
